[2026-04-14 11:14:17] [INFO] module.loaded version=1.1.0
[2026-04-14 11:14:18] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:20] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:22] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:22] [INFO] generate.enter
[2026-04-14 11:14:22] [INFO] [ZLHubSeedance] {"ts": "2026-04-14 11:14:22", "event": "workflow.start", "fields": {"output_dir": "D:\\DramaSoft\\字字动画_8_0_25\\工作目录\\默认\\3月27日", "viewer_index": 1}}
[2026-04-14 11:14:22] [INFO] [ZLHubSeedance] {"ts": "2026-04-14 11:14:22", "event": "workflow.params", "fields": {"params": {"api_key_masked": "sk-u***9x", "api_key_present": true, "base_url": "https://zlhub.xiaowaiyou.cn/zhonglian/api/v1/proxy/ark/contents/generations/tasks", "model": "doubao-seedance-2.0-fast", "resolution": "720p", "ratio": "adaptive", "duration": 8, "generate_audio": true, "web_search": false, "timeout": 900, "max_poll_attempts": 300, "poll_interval": 180, "retry_count": 3, "video_style": "仿真人风格", "audit_user_id": "106", "audit_test_only": false}, "prompt_length": 411, "has_reference_images": true, "has_reference_videos": false, "has_reference_audios": false}}
[2026-04-14 11:14:22] [INFO] [ZLHubSeedance] {"ts": "2026-04-14 11:14:22", "event": "workflow.audit_trigger", "fields": {"style": "仿真人风格"}}
[2026-04-14 11:14:23] [INFO] [ZLHubSeedance] {"ts": "2026-04-14 11:14:23", "event": "audit.request", "fields": {"endpoint": "http://118.196.112.236:3428/api/moderation/image", "user_id": 106, "image_count": 5}}
[2026-04-14 11:14:24] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:26] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:28] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:30] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:32] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:34] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:36] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:38] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:40] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:42] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:44] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:46] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:48] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:50] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:52] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:54] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:56] [DEBUG] handle_action: get_logs
[2026-04-14 11:14:58] [DEBUG] handle_action: get_logs
[2026-04-14 11:15:00] [DEBUG] handle_action: get_logs
[2026-04-14 11:15:02] [DEBUG] handle_action: get_logs
[2026-04-14 11:15:04] [DEBUG] handle_action: get_logs
[2026-04-14 11:15:06] [DEBUG] handle_action: get_logs
[2026-04-14 11:15:08] [DEBUG] handle_action: get_logs
[2026-04-14 11:15:10] [DEBUG] handle_action: get_logs
